job,salary,where,time,catagory,num,createtime,companyname,properties,scale,industry
机械工程师,年薪7-10w,镇江,应届,机械工程师,不限,昨天发布,英科医疗,国内上市公司,500-999人,医疗设备/器械
养老展实习生,120元/日,上海-长宁区,实习4天/周,会务/会展专员/助理,3人,昨天发布,上海国展展览中心有限公司,中外合营(合资·合作),50-99人,专业服务(咨询/财会/法律/翻译等)
技术员助理,年薪5-7w,温州-乐清,应届,工艺/制程工程师(PE),3人,昨天发布,科都电气,私营·民营企业,1000-2000人,仪器/仪表/工业自动化/电气
研发工程师,年薪6-10w,安庆-大观区,应届,化工技术应用/化工工程师,10人,昨天发布,上海飞凯光电材料股份有限公司,国内上市公司,1000-2000人,化学化工
品牌管理助理,年薪7-10w,烟台,应届,品牌专员/助理,1人,昨天发布,欣和,外商独资·外企办事处,5000-10000人,食品/饮料/烟酒/日化
手绘师,150元/日,北京,实习4天/周,插画/手绘师,1人,昨天发布,北京竹间科技有限公司,私营·民营企业,100-499人,互联网+
给排水设计助理工程师,年薪7-8w,上海,应届,给排水工程师,3人,昨天发布,卓展工程,外商独资·外企办事处,100-499人,房地产开发/建筑/建材/工程
市场企划专员/助理,年薪6-12w,北京-昌平区,应届,市场企划专员/助理,5人,昨天发布,北京格林威尔科技发展有限公司,私营·民营企业,100-499人,通信(设备/运营/增值)
助理销售,年薪10-12w,北京-西城区,应届,业务拓展专员/助理,3人,昨天发布,上海金纳信息科技有限公司,私营·民营企业,50-99人,互联网金融
媒体广告设计,120元/日,北京,实习5天/周,媒体广告设计,1人,昨天发布,云智联网络科技,私营·民营企业,500-999人,社交网络
医药销售代表浙江,年薪6-12w,杭州,应届,医药代表,不限,昨天发布,锦奇(上海)医疗投资有限公司,私营·民营企业,50-99人,医药销售
招聘助理/实习生,120元/日,北京-朝阳区,实习5天/周,招聘专员/助理,2人,昨天发布,FMC,私营·民营企业,50-99人,互联网/移动互联网/电子商务
医疗器械市场推广,年薪11-14w,上海,应届,医疗器械市场推广,2人,昨天发布,上海玉研科学仪器,私营·民营企业,50-99人,医疗设备/器械
公司业务经理,年薪10-14w,上海,应届,银行公司业务部门经理,5人,昨天发布,上海耀达保险代理有限公司,私营·民营企业,1-49人,保险
招聘专员5.2K起,年薪6-12w,广州-天河区,应届,招聘专员/助理,4人,昨天发布,广州市乐有家房产经纪有限公司信华一街分公司,私营·民营企业,100-499人,房地产服务(物业管理/地产经纪)
销售经理,年薪10-18w,广州-越秀区,应届,销售经理/主管,5人,昨天发布,申迪,私营·民营企业,100-499人,计算机软件
